card_id,client_id,account_id,card_number_masked,card_type,card_level,issue_date,expiry_date,card_status
82,1403,1831,4441********7982,visa,gold,2023-10-02,2026-10-01,active
83,892,795,4133********3072,mastercard,platinum,2025-12-30,2028-12-29,active
84,833,1821,4350********6233,mastercard,classic,2023-10-24,2026-10-23,active
85,347,2002,4227********5676,visa,classic,2026-03-15,2029-03-14,active
86,1600,145,4127********1276,mastercard,gold,2025-02-19,2028-02-19,blocked
87,792,2526,4577********8396,mastercard,gold,2025-10-18,2028-10-17,active
88,300,1331,4637********2063,mastercard,gold,2023-11-06,2026-11-05,expired
89,25,2478,4693********6702,mastercard,gold,2025-05-04,2028-05-03,blocked
90,390,2882,4863********3825,visa,gold,2025-07-02,2028-07-01,blocked
91,312,322,4861********2743,visa,gold,2025-05-01,2028-04-30,blocked
92,1462,1262,4444********1044,visa,classic,2024-06-13,2027-06-13,expired
93,47,2415,4060********2941,visa,classic,2024-07-15,2027-07-15,active
94,1866,1270,4027********7759,visa,classic,2025-04-22,2028-04-21,blocked
95,243,1761,4408********5524,visa,gold,2023-05-02,2026-05-01,active
96,1968,417,4433********9458,visa,platinum,2024-07-23,2027-07-23,active
97,87,2632,4529********2596,mastercard,gold,2023-09-02,2026-09-01,active
98,1865,2292,4151********1499,visa,gold,2026-01-30,2029-01-29,active
99,321,175,4474********2383,visa,platinum,2024-07-06,2027-07-06,active
100,1998,1726,4418********8421,visa,classic,2024-04-26,2027-04-26,active
101,1013,2176,4473********4755,mastercard,classic,2026-02-10,2029-02-09,active
102,1353,46,4832********5714,mastercard,platinum,2024-07-03,2027-07-03,active
103,52,686,4503********5919,visa,gold,2023-08-04,2026-08-03,active
104,536,1608,4116********4220,visa,classic,2024-05-06,2027-05-06,expired
105,449,1232,4445********3977,mastercard,platinum,2026-01-18,2029-01-17,expired
106,1574,863,4692********6821,mastercard,gold,2024-01-08,2027-01-07,blocked
107,1550,1966,4610********5157,mastercard,classic,2024-05-26,2027-05-26,active
108,1492,332,4123********1089,mastercard,classic,2024-12-18,2027-12-18,active
109,1670,94,4621********7595,visa,gold,2025-09-17,2028-09-16,active
110,942,1642,4858********8167,mastercard,gold,2024-12-09,2027-12-09,active
111,678,2987,4080********6787,visa,platinum,2023-06-23,2026-06-22,active
112,786,507,4850********3264,mastercard,classic,2026-03-08,2029-03-07,active
113,1214,2910,4058********5358,mastercard,gold,2025-04-30,2028-04-29,blocked
114,1102,2046,4102********6088,mastercard,platinum,2023-06-18,2026-06-17,expired
115,1484,496,4025********2111,visa,classic,2024-07-04,2027-07-04,blocked
116,859,2133,4602********8956,mastercard,classic,2023-05-25,2026-05-24,active
117,540,1,4038********1321,mastercard,platinum,2024-07-30,2027-07-30,active
118,387,315,4556********2113,mastercard,platinum,2025-05-11,2028-05-10,active
119,736,1273,4322********5084,visa,gold,2025-08-04,2028-08-03,active
120,621,1942,4043********5186,visa,platinum,2024-09-30,2027-09-30,active
121,1147,2968,4662********9141,mastercard,platinum,2025-09-12,2028-09-11,expired
122,1783,1317,4504********4664,visa,classic,2025-03-23,2028-03-22,blocked
123,993,756,4604********8192,visa,gold,2023-11-14,2026-11-13,blocked
124,687,1771,4617********5794,visa,gold,2024-08-13,2027-08-13,blocked
125,545,1201,4978********2631,visa,classic,2023-06-06,2026-06-05,blocked
126,84,2175,4293********1804,mastercard,gold,2025-09-09,2028-09-08,expired
127,564,1992,4272********5067,visa,classic,2025-07-04,2028-07-03,active
128,1326,880,4447********3998,visa,platinum,2025-11-16,2028-11-15,expired
129,1447,766,4685********5736,visa,platinum,2024-12-04,2027-12-04,blocked
130,1575,928,4826********1240,visa,platinum,2026-01-22,2029-01-21,active
131,1550,2378,4169********8058,visa,classic,2026-01-08,2029-01-07,active
132,205,1375,4478********1835,mastercard,platinum,2024-07-31,2027-07-31,active
133,977,1815,4108********2458,mastercard,classic,2024-01-17,2027-01-16,active
134,1761,1799,4676********1449,mastercard,classic,2025-02-18,2028-02-18,expired
135,1546,930,4966********2371,visa,gold,2025-12-29,2028-12-28,expired
136,1521,437,4585********9404,mastercard,classic,2024-10-15,2027-10-15,active
137,804,197,4085********8281,visa,platinum,2023-09-21,2026-09-20,expired
138,475,1763,4515********5747,visa,classic,2026-02-23,2029-02-22,expired
139,1277,1065,4950********7537,mastercard,gold,2024-01-15,2027-01-14,expired
140,195,2343,4141********3633,visa,gold,2025-01-23,2028-01-23,active
141,1806,2529,4534********9407,visa,platinum,2026-02-27,2029-02-26,blocked
142,1094,1269,4995********9304,mastercard,gold,2023-05-07,2026-05-06,active
143,1764,2324,4552********3827,visa,classic,2025-05-06,2028-05-05,active
144,1873,2780,4553********1767,mastercard,gold,2025-06-25,2028-06-24,active
145,1611,2226,4484********2535,visa,classic,2024-10-21,2027-10-21,blocked
146,350,451,4576********2394,mastercard,platinum,2024-11-20,2027-11-20,blocked
147,1479,2165,4093********2376,visa,platinum,2023-10-25,2026-10-24,blocked
148,1243,2373,4690********5430,visa,platinum,2025-12-07,2028-12-06,blocked
149,1850,2013,4573********9268,visa,gold,2025-01-13,2028-01-13,blocked
150,646,271,4592********8817,visa,gold,2025-09-27,2028-09-26,active
151,1214,1841,4602********6810,visa,platinum,2023-11-25,2026-11-24,active
152,881,2935,4264********2448,mastercard,classic,2023-04-30,2026-04-29,active
153,1918,979,4437********1721,mastercard,platinum,2025-04-15,2028-04-14,active
154,691,2167,4181********8987,mastercard,platinum,2025-02-23,2028-02-23,expired
155,66,355,4571********4672,mastercard,platinum,2023-08-21,2026-08-20,blocked
156,1307,1877,4362********2753,mastercard,platinum,2024-04-19,2027-04-19,blocked
157,1949,185,4186********5798,visa,platinum,2024-07-25,2027-07-25,blocked
158,1,2745,4718********5637,mastercard,gold,2023-06-08,2026-06-07,expired
159,1869,1615,4254********5338,mastercard,classic,2024-02-12,2027-02-11,active
160,1252,2760,4463********9383,mastercard,classic,2024-10-01,2027-10-01,active
161,1894,1707,4454********1190,visa,platinum,2023-08-12,2026-08-11,active
162,1295,1862,4104********7323,visa,classic,2023-11-27,2026-11-26,active
163,1458,247,4593********4983,mastercard,gold,2024-09-21,2027-09-21,expired
164,1511,556,4559********3048,visa,platinum,2025-04-21,2028-04-20,expired
165,1569,1753,4983********4637,mastercard,platinum,2023-05-15,2026-05-14,blocked
166,1347,1365,4545********9221,visa,platinum,2023-12-06,2026-12-05,active
167,1421,68,4901********8141,visa,gold,2024-10-31,2027-10-31,blocked
168,1653,2619,4491********3479,mastercard,platinum,2025-12-08,2028-12-07,expired
169,1251,2285,4069********7961,visa,platinum,2024-10-05,2027-10-05,active
170,2,533,4091********5913,visa,classic,2023-06-26,2026-06-25,active
171,1946,2874,4600********5067,mastercard,platinum,2023-11-13,2026-11-12,expired
172,1335,2706,4655********3674,visa,platinum,2023-06-19,2026-06-18,blocked
173,48,1503,4110********4811,visa,gold,2025-06-27,2028-06-26,blocked
174,1356,762,4915********1006,mastercard,classic,2026-02-14,2029-02-13,active
175,775,2753,4044********5169,mastercard,platinum,2026-02-17,2029-02-16,expired
176,1756,1212,4096********7563,mastercard,platinum,2024-05-26,2027-05-26,active
177,326,2244,4931********3712,mastercard,gold,2025-04-07,2028-04-06,active
178,423,1794,4507********3369,mastercard,classic,2023-08-20,2026-08-19,expired
179,1117,536,4099********8027,mastercard,platinum,2024-12-08,2027-12-08,active
180,272,1747,4893********4166,mastercard,gold,2026-02-19,2029-02-18,active
181,1613,464,4806********7822,mastercard,classic,2025-01-16,2028-01-16,blocked
182,615,2678,4773********8933,visa,platinum,2026-01-11,2029-01-10,active
183,522,1840,4716********5238,visa,platinum,2023-06-24,2026-06-23,expired
184,1132,2863,4979********1046,mastercard,gold,2024-04-13,2027-04-13,expired
185,1199,125,4148********2587,mastercard,classic,2023-11-14,2026-11-13,blocked
186,1222,179,4277********7778,visa,classic,2025-02-14,2028-02-14,active
187,575,193,4637********4026,mastercard,platinum,2024-02-05,2027-02-04,blocked
188,1505,2308,4969********5342,mastercard,platinum,2023-12-25,2026-12-24,expired
189,1203,1430,4632********5079,mastercard,platinum,2024-05-16,2027-05-16,expired
190,842,1692,4562********8214,mastercard,platinum,2025-04-19,2028-04-18,blocked
191,901,742,4580********6117,visa,gold,2025-12-12,2028-12-11,active
192,1823,1035,4602********5279,mastercard,platinum,2023-11-30,2026-11-29,active
193,1893,1967,4113********3033,visa,platinum,2023-11-24,2026-11-23,expired
194,1405,479,4695********3958,visa,platinum,2025-02-18,2028-02-18,blocked
195,463,1028,4369********5036,mastercard,platinum,2025-05-14,2028-05-13,active
196,631,2602,4359********2857,visa,gold,2023-12-09,2026-12-08,active
197,1297,369,4432********2013,visa,platinum,2025-03-29,2028-03-28,expired
198,1827,2524,4770********7469,visa,gold,2023-07-23,2026-07-22,active
199,1533,846,4254********7730,visa,classic,2023-10-29,2026-10-28,expired
200,1031,257,4593********5258,mastercard,gold,2024-03-19,2027-03-19,expired
201,1865,1223,4057********7209,mastercard,classic,2025-09-10,2028-09-09,active
202,591,1993,4025********5933,visa,gold,2023-09-24,2026-09-23,expired
203,383,212,4994********5099,visa,classic,2024-11-07,2027-11-07,active
204,194,2690,4942********7165,mastercard,platinum,2025-03-20,2028-03-19,active
205,1459,1950,4804********8125,mastercard,gold,2023-12-01,2026-11-30,blocked
206,118,1363,4051********6355,mastercard,gold,2025-05-20,2028-05-19,active
207,489,2152,4014********6091,mastercard,gold,2023-12-17,2026-12-16,active
208,1615,2154,4501********8259,mastercard,platinum,2025-03-12,2028-03-11,active
209,1087,568,4584********8382,mastercard,gold,2024-01-09,2027-01-08,active
210,10,2207,4196********9297,visa,gold,2023-09-23,2026-09-22,active
211,59,2094,4248********7054,mastercard,gold,2024-10-12,2027-10-12,blocked
212,255,1711,4802********3143,visa,gold,2024-07-29,2027-07-29,active
213,1137,1264,4717********5738,visa,classic,2025-01-17,2028-01-17,blocked
214,1105,2124,4647********6472,mastercard,classic,2025-12-24,2028-12-23,active
215,995,799,4009********7971,visa,classic,2025-10-10,2028-10-09,active
216,1241,81,4179********3492,mastercard,classic,2025-04-30,2028-04-29,blocked
217,1702,33,4438********8837,mastercard,gold,2024-10-03,2027-10-03,blocked
218,1669,415,4137********6177,visa,gold,2025-04-09,2028-04-08,active
219,174,1805,4106********2295,visa,gold,2024-03-14,2027-03-14,active
220,1062,2214,4094********7103,mastercard,platinum,2026-01-03,2029-01-02,expired
221,225,1322,4654********7361,visa,classic,2025-11-30,2028-11-29,expired
222,603,1568,4015********2775,mastercard,platinum,2023-05-06,2026-05-05,expired
223,1175,784,4405********8883,mastercard,platinum,2025-03-16,2028-03-15,active
224,1776,2992,4200********2296,visa,platinum,2024-11-05,2027-11-05,expired
225,123,1413,4903********6871,mastercard,classic,2023-09-02,2026-09-01,active
226,1232,458,4456********3210,mastercard,gold,2023-05-26,2026-05-25,active
227,1544,140,4653********7963,visa,classic,2025-07-14,2028-07-13,active
228,1042,2231,4941********3697,visa,classic,2026-01-13,2029-01-12,expired
229,570,1026,4257********4748,mastercard,gold,2025-06-21,2028-06-20,active
230,474,89,4440********6664,mastercard,platinum,2023-05-07,2026-05-06,active
231,1000,1443,4472********6740,visa,gold,2025-06-28,2028-06-27,active
232,1239,1832,4970********9422,visa,gold,2024-12-25,2027-12-25,active
233,685,2577,4126********4810,mastercard,gold,2024-07-25,2027-07-25,active
234,1242,255,4816********5396,visa,classic,2024-06-13,2027-06-13,blocked
235,1340,606,4260********6005,mastercard,gold,2024-11-21,2027-11-21,blocked
236,498,1045,4346********3386,visa,classic,2024-04-29,2027-04-29,active
237,1390,569,4143********4171,visa,platinum,2026-04-08,2029-04-07,blocked
238,1502,1733,4292********9802,mastercard,platinum,2023-11-26,2026-11-25,expired
239,1909,2543,4751********2390,mastercard,gold,2025-03-22,2028-03-21,blocked
240,938,858,4782********4379,visa,platinum,2023-11-18,2026-11-17,active
241,50,2473,4660********3725,mastercard,classic,2024-01-13,2027-01-12,active
242,1880,818,4196********9829,mastercard,platinum,2025-05-05,2028-05-04,active
243,394,2031,4839********2192,mastercard,gold,2024-09-08,2027-09-08,active
244,1715,1878,4670********9894,visa,classic,2024-03-13,2027-03-13,expired
245,1326,142,4802********7341,visa,classic,2024-09-03,2027-09-03,active
246,1480,444,4336********4184,visa,gold,2025-08-26,2028-08-25,expired
247,1003,1175,4811********4760,mastercard,platinum,2025-05-06,2028-05-05,expired
248,64,487,4515********3372,mastercard,platinum,2024-10-30,2027-10-30,active
249,1850,882,4338********4760,mastercard,classic,2026-02-26,2029-02-25,active
250,33,2565,4878********2701,visa,platinum,2023-06-12,2026-06-11,blocked
251,1119,1085,4451********8768,mastercard,platinum,2023-11-25,2026-11-24,active
252,1248,1300,4862********7962,mastercard,classic,2026-04-04,2029-04-03,active
253,1634,176,4260********5167,mastercard,gold,2025-11-28,2028-11-27,active
254,263,1095,4437********1876,visa,platinum,2023-12-03,2026-12-02,active
255,3,2701,4704********2080,mastercard,platinum,2023-12-11,2026-12-10,expired
256,316,2847,4222********8378,visa,classic,2025-06-04,2028-06-03,active
257,1578,1964,4246********3020,visa,platinum,2024-04-14,2027-04-14,blocked
258,282,2682,4983********9230,mastercard,platinum,2024-07-28,2027-07-28,blocked
259,952,2098,4823********7972,visa,platinum,2024-03-30,2027-03-30,expired
260,1860,2156,4062********6014,mastercard,gold,2023-12-20,2026-12-19,expired
261,1210,1557,4719********3176,mastercard,classic,2026-03-07,2029-03-06,active
262,419,1671,4859********8363,visa,gold,2026-02-04,2029-02-03,blocked
263,1792,178,4238********1596,visa,platinum,2023-08-07,2026-08-06,expired
264,1063,1079,4553********7247,mastercard,classic,2026-02-18,2029-02-17,active
265,416,599,4135********4337,visa,platinum,2025-09-12,2028-09-11,blocked
266,1956,2191,4166********9543,visa,classic,2024-06-29,2027-06-29,expired
267,1715,2532,4811********2690,visa,classic,2025-09-15,2028-09-14,expired
268,991,2668,4511********1492,mastercard,classic,2025-06-27,2028-06-26,expired
269,741,2787,4215********3824,visa,platinum,2025-08-16,2028-08-15,expired
270,1967,480,4570********4474,visa,classic,2024-12-22,2027-12-22,active
271,685,1968,4045********2916,visa,classic,2026-01-01,2028-12-31,active
272,62,1058,4179********1034,visa,classic,2024-03-03,2027-03-03,expired
273,1807,2269,4395********8558,mastercard,gold,2025-11-28,2028-11-27,active
274,1764,534,4046********1488,mastercard,platinum,2025-05-07,2028-05-06,blocked
275,1867,1104,4124********1183,visa,gold,2024-08-29,2027-08-29,active
276,1099,1107,4381********7286,visa,gold,2026-03-04,2029-03-03,active
277,1108,2928,4939********4854,mastercard,gold,2024-07-18,2027-07-18,active
278,704,1124,4656********2393,visa,gold,2025-12-01,2028-11-30,active
279,76,943,4431********3265,visa,gold,2024-05-11,2027-05-11,active
280,1942,163,4418********6183,visa,classic,2025-11-03,2028-11-02,active
281,660,1552,4203********1276,mastercard,gold,2023-05-07,2026-05-06,active
282,1606,966,4003********7063,mastercard,gold,2024-02-10,2027-02-09,expired
283,1899,472,4388********8168,visa,gold,2025-04-04,2028-04-03,active
284,1861,845,4924********1754,mastercard,gold,2025-09-23,2028-09-22,blocked
285,1912,999,4432********5401,visa,classic,2025-08-29,2028-08-28,active
286,484,1905,4926********7438,mastercard,gold,2023-04-27,2026-04-26,active
287,1217,31,4725********2479,visa,gold,2024-08-17,2027-08-17,active
288,1511,2891,4827********8323,mastercard,classic,2024-01-06,2027-01-05,blocked
289,651,424,4628********5405,mastercard,classic,2026-01-30,2029-01-29,expired
290,475,512,4629********1246,mastercard,platinum,2024-07-05,2027-07-05,active
291,1353,2759,4440********7876,visa,gold,2025-02-27,2028-02-27,expired
292,199,2738,4144********7191,mastercard,classic,2023-09-13,2026-09-12,blocked
293,571,1394,4621********8522,visa,platinum,2025-12-07,2028-12-06,active
294,1455,1587,4552********8101,visa,gold,2023-09-17,2026-09-16,expired
295,1228,1930,4698********8951,visa,gold,2024-11-10,2027-11-10,active
296,556,2498,4379********8024,visa,gold,2023-05-21,2026-05-20,blocked
297,1359,788,4864********2270,mastercard,gold,2023-11-11,2026-11-10,active
298,1088,2637,4709********4878,visa,classic,2024-03-19,2027-03-19,active
299,533,2539,4135********8071,mastercard,gold,2023-05-08,2026-05-07,expired
300,1276,403,4591********4060,mastercard,classic,2025-01-25,2028-01-25,active
301,1264,434,4080********1095,mastercard,classic,2024-10-10,2027-10-10,active
302,499,1152,4802********8552,mastercard,gold,2023-07-21,2026-07-20,expired
303,45,74,4321********2929,mastercard,gold,2025-12-29,2028-12-28,blocked
304,1724,1537,4297********2478,visa,gold,2023-04-27,2026-04-26,active
305,1301,2710,4394********4029,visa,classic,2023-11-13,2026-11-12,expired
306,555,622,4689********3370,mastercard,classic,2024-01-07,2027-01-06,expired
307,1783,1438,4729********7599,visa,gold,2025-03-13,2028-03-12,active
308,1271,1560,4181********3665,visa,platinum,2025-06-01,2028-05-31,blocked
309,101,1567,4342********9392,visa,gold,2026-04-05,2029-04-04,active
310,639,325,4830********5330,mastercard,gold,2025-01-11,2028-01-11,active
311,519,333,4107********6678,mastercard,gold,2025-09-05,2028-09-04,blocked
312,1632,1393,4853********1743,mastercard,gold,2024-07-18,2027-07-18,expired
313,1499,651,4129********1047,visa,classic,2024-07-24,2027-07-24,active
314,468,2237,4508********1000,visa,platinum,2025-11-13,2028-11-12,active
315,245,1534,4064********7542,visa,platinum,2024-12-24,2027-12-24,active
316,1649,2164,4419********5507,visa,gold,2026-01-24,2029-01-23,active
317,1021,544,4216********3228,mastercard,gold,2025-03-15,2028-03-14,active
318,381,2959,4515********3669,mastercard,platinum,2024-02-17,2027-02-16,active
319,477,1819,4005********1957,visa,gold,2025-07-12,2028-07-11,expired
320,637,1625,4667********9465,visa,classic,2025-02-15,2028-02-15,active
321,1453,1178,4734********8415,visa,classic,2025-05-01,2028-04-30,active
322,1959,680,4429********2187,mastercard,platinum,2024-11-17,2027-11-17,active
323,457,2097,4006********8888,visa,classic,2023-08-01,2026-07-31,active
324,1249,2030,4965********1966,visa,classic,2025-10-20,2028-10-19,expired
325,390,1660,4380********1016,visa,gold,2023-07-02,2026-07-01,active
326,88,1638,4835********2411,mastercard,classic,2025-12-08,2028-12-07,blocked
327,706,240,4082********1714,mastercard,classic,2023-06-03,2026-06-02,blocked
328,767,2125,4054********3230,visa,classic,2023-10-16,2026-10-15,active
329,945,2620,4473********2161,mastercard,platinum,2025-02-01,2028-02-01,active
330,1151,2291,4696********1240,visa,gold,2025-08-30,2028-08-29,active
331,942,765,4927********2419,mastercard,platinum,2024-03-07,2027-03-07,active
332,206,1129,4715********5801,visa,platinum,2023-10-30,2026-10-29,active
333,889,1886,4816********9550,mastercard,gold,2023-10-22,2026-10-21,expired
334,1165,1117,4568********4495,mastercard,gold,2023-12-11,2026-12-10,active
335,1412,1103,4609********5212,mastercard,gold,2024-03-08,2027-03-08,active
336,1952,2848,4423********2443,visa,gold,2023-12-02,2026-12-01,active
337,127,2331,4824********6093,visa,classic,2023-09-10,2026-09-09,active
338,1479,1362,4036********5224,mastercard,classic,2025-08-14,2028-08-13,active
339,1653,2317,4360********7607,visa,platinum,2025-12-10,2028-12-09,active
340,1217,1408,4070********8672,mastercard,classic,2023-12-31,2026-12-30,active
341,660,2530,4448********5194,visa,gold,2023-06-02,2026-06-01,active
342,897,344,4430********9682,visa,gold,2023-06-29,2026-06-28,active
343,352,1106,4558********8133,visa,platinum,2023-06-17,2026-06-16,blocked
344,1669,2593,4458********4174,visa,platinum,2025-07-03,2028-07-02,active
345,564,558,4912********5908,visa,platinum,2023-10-21,2026-10-20,active
346,1995,1476,4990********3897,mastercard,classic,2024-04-19,2027-04-19,blocked
347,512,2704,4943********5881,mastercard,classic,2023-04-24,2026-04-23,expired
348,463,595,4048********6420,mastercard,classic,2023-05-24,2026-05-23,blocked
349,930,1558,4835********8279,mastercard,platinum,2023-09-11,2026-09-10,active
350,684,412,4402********6899,mastercard,platinum,2023-11-26,2026-11-25,active
351,985,1056,4360********2311,mastercard,gold,2023-04-24,2026-04-23,active
352,1352,2474,4210********3994,visa,platinum,2024-04-27,2027-04-27,active
353,482,109,4553********6460,mastercard,classic,2024-10-26,2027-10-26,active
354,1558,2026,4505********6070,visa,platinum,2025-03-26,2028-03-25,expired
355,220,2707,4104********4826,visa,classic,2023-05-21,2026-05-20,active
356,1522,319,4473********9315,mastercard,classic,2023-05-19,2026-05-18,expired
357,1600,2719,4703********1312,visa,gold,2024-08-31,2027-08-31,active
358,1194,841,4721********8293,mastercard,classic,2023-10-07,2026-10-06,active
359,402,2958,4172********1389,mastercard,platinum,2023-05-14,2026-05-13,expired
360,1403,1352,4379********4830,mastercard,gold,2025-05-23,2028-05-22,active
361,834,2826,4698********3902,visa,classic,2024-04-13,2027-04-13,active
362,1813,2367,4186********8171,mastercard,platinum,2024-06-26,2027-06-26,active
363,1186,1883,4892********1975,visa,classic,2023-12-11,2026-12-10,blocked
364,374,681,4777********1831,visa,gold,2024-11-03,2027-11-03,active
365,465,730,4345********4515,visa,gold,2024-08-08,2027-08-08,expired
366,1805,790,4265********8211,mastercard,classic,2024-08-11,2027-08-11,blocked
367,1998,1814,4289********1718,mastercard,classic,2023-10-17,2026-10-16,blocked
368,1477,1346,4721********4133,visa,gold,2025-10-03,2028-10-02,expired
369,1716,1869,4563********1811,mastercard,platinum,2025-09-02,2028-09-01,expired
370,632,2070,4690********6999,visa,classic,2024-02-08,2027-02-07,active
371,1375,433,4049********1159,mastercard,gold,2024-11-20,2027-11-20,expired
372,1679,565,4221********5981,visa,classic,2024-02-25,2027-02-24,expired
373,690,1749,4121********1049,mastercard,gold,2024-01-01,2026-12-31,active
374,1018,1777,4960********1514,visa,gold,2025-11-11,2028-11-10,active
