account_id,client_id,account_number,account_type,currency,balance,status,opened_at
29,408,RU75CRNU2447563112138,savings,USD,4117707.95,closed,2025-09-24 08:57:31
30,1302,RU87WAPR2878066154598,debit,EUR,153785.4,active,2025-10-30 01:00:40
31,1217,RU70KQMM3565418028825,savings,KZT,4802641.37,blocked,2025-12-07 03:18:32
32,1130,RU11ECFV8866905946998,savings,USD,818404.56,active,2026-02-08 02:00:44
33,1702,RU69YJFR8284705203132,credit,KZT,1426061.81,blocked,2025-05-12 11:58:11
34,334,RU92TRRO1232036686427,credit,KZT,4285698.83,active,2026-01-11 09:45:58
35,424,RU15XPRM2685272876032,savings,EUR,2048126.48,active,2026-03-25 00:07:25
36,1599,RU69AQPO8347106283345,credit,KZT,2371011.94,active,2025-12-30 15:07:43
37,355,RU75YYUW5735623277004,credit,KZT,1119626.39,closed,2026-03-01 21:07:47
38,1932,RU31KGKQ5973027322857,savings,EUR,4835155.19,active,2025-10-04 19:21:15
39,1834,RU96AJWF4025554689397,savings,USD,2295531.1,active,2025-10-21 11:07:45
40,619,RU16OUBJ1167881596467,credit,EUR,4121729.8,blocked,2025-12-06 05:00:13
41,210,RU68HQMZ5690448467332,debit,EUR,4997147.47,active,2025-11-27 06:20:53
42,1326,RU65WFTC2489558770062,credit,EUR,1414101.71,active,2025-10-27 07:18:58
43,131,RU60HVTI5994264076089,savings,USD,3203333.13,active,2025-08-02 15:15:15
44,1344,RU82KGBC2033980138716,credit,EUR,1494656.77,active,2025-11-10 02:42:51
45,1568,RU65ERHH5689058108015,debit,KZT,4027343.68,closed,2025-09-27 03:39:32
46,1353,RU92GGOI3567027728715,savings,EUR,700507.61,active,2026-01-02 17:57:52
47,1019,RU12MLTN9579457595995,savings,USD,4534650.9,blocked,2025-09-21 00:10:23
48,1509,RU35LAKK3629171485418,debit,EUR,3540636.73,closed,2026-03-06 02:59:48
49,389,RU04HTLF5252078821651,savings,EUR,3567133.08,closed,2025-12-27 02:42:08
50,1608,RU71CTUW2145744520302,savings,EUR,1793127.16,active,2026-03-17 13:04:01
51,349,RU97PUMY9473088240353,credit,EUR,906498.15,active,2025-10-23 01:11:03
52,263,RU70FXCZ2440293634094,credit,USD,3626208.0,closed,2026-02-13 12:06:06
53,1870,RU60CFZW1805257959900,debit,EUR,4498056.2,active,2025-07-18 12:44:29
54,728,RU93JPTI1232546018911,debit,EUR,4357289.73,blocked,2026-02-23 06:43:25
55,1817,RU22GZJX3485713399627,savings,USD,1303535.62,active,2025-10-20 07:45:03
56,1744,RU88NRNC2734211202913,debit,USD,269331.1,closed,2025-12-04 14:05:55
57,1934,RU10QCHB1494802989088,credit,KZT,2361626.19,active,2025-11-03 13:58:33
58,246,RU27UQWC9664523191990,credit,USD,2649662.68,blocked,2025-05-14 05:04:57
59,1784,RU37QECV3356831723667,debit,KZT,4961746.92,active,2025-09-29 03:07:58
60,1167,RU08BJWW1710389191874,savings,KZT,1582600.9,active,2026-02-19 17:26:47
61,166,RU06BKAD3320344956071,savings,USD,3155532.83,active,2025-08-22 22:25:10
62,1300,RU48IQPY6507752572316,debit,KZT,2260814.09,active,2026-02-12 20:01:27
63,1585,RU39YXGD6037811057039,debit,EUR,3822654.2,blocked,2026-02-22 03:53:04
64,1564,RU79TMYG0667005994696,debit,KZT,3072784.21,blocked,2025-09-26 21:05:18
65,879,RU66MVTH2337007158009,savings,USD,24341.02,closed,2025-07-09 15:51:50
66,1497,RU87PCIU0863323430658,savings,KZT,4460139.95,closed,2025-07-06 05:29:32
67,37,RU14YPJJ8883923759097,credit,KZT,3133807.96,active,2025-07-20 02:08:16
68,1421,RU74FEQK8258545513919,savings,USD,645525.07,blocked,2025-11-04 16:37:28
69,1206,RU89NZAG4823678838736,savings,KZT,327369.83,active,2025-08-17 00:38:06
70,1943,RU28SUGE3800436475846,savings,USD,3639431.73,closed,2025-11-12 18:19:08
71,692,RU19NZIQ6741637120631,savings,EUR,4977366.58,active,2026-04-08 06:41:39
72,1004,RU07OKLF9776014584081,savings,KZT,825252.66,blocked,2025-04-30 15:26:38
73,468,RU50DXYI4157281436116,debit,EUR,4924412.74,active,2026-02-02 07:16:43
74,45,RU56RMDD4603611892605,credit,EUR,845754.72,active,2026-01-24 09:12:54
75,1333,RU45KKWU4654268368437,debit,USD,4382844.14,active,2026-02-16 17:45:23
76,1096,RU84OCIZ0344545956600,credit,KZT,2970026.42,active,2026-01-05 07:11:43
77,222,RU31HACC9622723869742,credit,KZT,242127.05,active,2025-10-02 01:49:06
78,910,RU82WDUX7368385095709,savings,KZT,2736864.64,blocked,2026-01-20 19:04:28
79,314,RU43GIAY9916508113640,debit,EUR,3429014.4,active,2025-08-18 03:47:50
80,862,RU13HIQU4843770062795,credit,KZT,3312752.35,active,2025-12-21 02:05:04
81,1241,RU52WVSK1429544966954,credit,KZT,2094709.93,active,2025-11-07 21:30:15
82,1473,RU09ECXY7562752800161,credit,KZT,1414251.13,active,2025-11-02 12:27:10
83,407,RU39UOGI4794592351638,credit,KZT,3890016.62,closed,2025-07-10 12:55:08
84,734,RU07HFNI8971001707812,credit,USD,1477460.65,active,2025-11-22 02:12:43
85,1017,RU95VWTJ5761304948414,debit,EUR,4665688.6,active,2025-07-23 06:56:10
86,6,RU36FUWU3552833728756,debit,EUR,445925.19,active,2026-03-13 14:06:59
87,1176,RU61VPSR1302656477115,credit,USD,746573.32,active,2026-02-19 22:53:58
88,1048,RU37QREX1870894107911,debit,EUR,3618157.67,active,2025-12-29 10:50:34
89,474,RU51NDCJ6446119830975,savings,USD,1321360.99,active,2025-05-31 23:28:30
90,1666,RU39ZJFX4738852377487,debit,KZT,4261391.18,active,2026-02-28 12:36:20
91,1387,RU23OABP8812532512180,savings,USD,3692962.44,active,2026-03-19 19:22:31
92,1553,RU04RFYF6799096660286,debit,KZT,4260141.63,active,2025-08-28 20:31:46
93,733,RU84LXGR3957164682100,savings,EUR,1342278.68,active,2025-09-14 22:16:43
94,1670,RU12GVXP0907037808866,savings,KZT,570046.17,blocked,2025-10-17 12:26:15
95,557,RU36YZSH2070983484926,savings,EUR,4253507.22,blocked,2025-12-31 04:52:34
96,1815,RU17PXJR7629650744565,debit,KZT,663425.37,active,2026-03-17 03:05:58
97,327,RU79OENP6541982817947,debit,USD,4556222.58,blocked,2026-02-28 18:50:18
98,1166,RU13PSLA0345220262693,credit,USD,907121.54,blocked,2026-02-19 19:31:34
99,735,RU66BGEX6452573309074,credit,KZT,4313016.3,active,2025-10-27 19:49:02
100,1885,RU05YYBX6351685224767,savings,KZT,4438082.05,blocked,2025-05-11 01:40:54
101,130,RU95LDEK8379900536693,savings,EUR,1571875.49,closed,2026-02-15 07:04:29
102,1523,RU60GEPN3342285628372,credit,EUR,2825496.12,active,2025-11-10 19:32:53
103,1072,RU42ZHPV2259310337008,credit,EUR,3091576.84,blocked,2026-01-05 04:48:11
104,1489,RU69WSJE3403704333318,debit,USD,1729401.69,blocked,2025-06-19 22:44:54
105,1719,RU43ZQGR4561257804737,credit,EUR,273776.01,active,2025-11-05 13:25:11
106,1739,RU24DSQZ5176968064554,savings,USD,4347208.76,active,2026-02-09 01:01:25
107,1007,RU61JXWE1578379264053,savings,KZT,1655143.32,active,2025-05-12 18:29:28
108,1039,RU80WEUO3968859342883,debit,EUR,3216943.26,blocked,2026-03-06 13:08:36
109,482,RU66UZSB3979978331503,debit,USD,2221500.19,closed,2025-10-14 05:46:12
110,181,RU12FDTQ5965510250666,savings,USD,1580991.58,blocked,2026-02-06 15:19:09
111,1339,RU91XUQM0673476714998,debit,KZT,2017794.86,active,2025-11-25 14:01:33
112,1125,RU31NHER9591038524276,debit,KZT,3959124.64,closed,2025-12-26 19:28:28
113,624,RU60FEDK5963743963994,credit,EUR,1035049.39,blocked,2025-09-02 14:10:48
114,745,RU44TKTJ0389554656531,debit,KZT,4221742.88,active,2025-11-26 18:10:22
115,1572,RU70PBQP3002102736632,credit,EUR,2366195.27,active,2026-01-26 05:59:09
116,927,RU58LXMV7322348749391,debit,KZT,3796840.44,active,2025-04-24 01:39:56
117,700,RU92NVMA1910904886607,savings,EUR,4822203.98,active,2025-11-21 22:02:05
118,1070,RU32GXEN4478937859541,savings,EUR,532504.82,active,2025-10-31 10:53:44
119,288,RU69PNZB9093716458104,credit,EUR,3608073.92,active,2025-07-30 23:20:12
120,1252,RU41LYPH4669447338780,debit,KZT,604608.29,blocked,2025-07-15 22:37:42
121,937,RU09XYZW5289056651837,debit,EUR,1690329.81,blocked,2025-05-11 06:36:12
122,1898,RU97RZJX7719888374345,credit,EUR,2944466.73,blocked,2025-10-17 20:21:09
123,1349,RU26BTMQ5938062502308,credit,EUR,674045.44,blocked,2025-04-24 21:37:05
124,1087,RU50SUSV6469243435486,credit,KZT,2766578.42,blocked,2026-03-14 23:31:17
125,1199,RU03TKFD2156038710880,savings,EUR,3905626.4,active,2026-01-16 21:23:49
126,1185,RU52GKJN9466049037647,debit,EUR,4076405.53,active,2025-09-20 16:04:13
127,1347,RU88IONX9116122150396,credit,EUR,4413596.62,closed,2026-03-31 12:20:38
128,788,RU23WKLR6819004158933,savings,EUR,4579635.3,active,2025-08-07 11:17:13
129,815,RU49GLER6601385500295,savings,USD,2264775.68,active,2025-06-15 21:07:10
130,846,RU08ZPGZ8010124571815,credit,EUR,4432297.84,closed,2025-08-17 07:15:39
131,1727,RU84RBMX1949991365055,credit,EUR,4303677.02,closed,2025-12-24 21:17:31
132,446,RU46DSDV9396871867170,debit,KZT,3121213.78,active,2026-01-14 20:52:11
133,708,RU45RAUJ9293285071961,credit,KZT,4906696.15,active,2025-11-04 21:48:57
134,1112,RU10ESHG2134952209400,credit,EUR,1612584.61,active,2026-02-12 16:07:32
135,722,RU32GPVC7758856274806,credit,USD,2914448.55,blocked,2026-01-10 01:35:36
136,1532,RU62MDCW2620306951657,credit,USD,4387508.7,blocked,2026-03-03 03:08:06
137,27,RU09VCFD1860181123993,credit,KZT,127335.43,active,2025-05-13 19:47:24
138,1373,RU67GBFK5987920623145,debit,KZT,1335624.37,active,2025-08-12 12:38:20
139,1400,RU73TNRV8910961968045,savings,KZT,4197069.69,active,2025-07-11 10:36:53
140,1544,RU06ALFC1203608164180,credit,KZT,1794053.5,blocked,2025-06-02 00:22:17
141,1262,RU59IIXZ6081971408346,credit,EUR,2809863.03,active,2026-02-05 12:58:36
142,1326,RU16SKII9506095806274,credit,USD,1188739.77,active,2026-01-17 07:49:15
143,1361,RU92KMNT8398590742941,debit,USD,1938385.69,active,2025-11-23 15:21:46
144,111,RU12JEVT0495776253847,debit,EUR,1257454.3,closed,2026-03-26 15:27:25
145,1600,RU79MYMT1953016472861,savings,KZT,4557520.4,active,2026-02-10 11:18:09
146,1206,RU79PJVW6859026297611,credit,EUR,3017331.5,active,2025-08-15 11:07:25
147,920,RU91YMME8660349824689,debit,EUR,373270.5,active,2026-02-02 16:37:33
148,1053,RU39UZVN7016562774021,debit,USD,204130.53,active,2025-11-25 09:03:49
149,542,RU69LPEG1252423525600,debit,KZT,2920346.3,active,2025-04-25 09:48:18
150,677,RU73QKXQ9496172150520,savings,EUR,4687534.76,active,2025-06-21 21:48:28
151,1902,RU49ULXH5313184560599,savings,EUR,255226.35,closed,2026-03-16 15:49:22
152,1356,RU20HJVE3221091294431,savings,USD,3949751.0,closed,2025-09-09 06:47:17
153,150,RU37ZIWU1408783437798,credit,USD,2627449.94,active,2025-11-11 09:35:27
154,140,RU24EWJB2116823137998,credit,KZT,2080240.29,closed,2025-09-26 21:18:29
155,189,RU70CQDU0096242657896,savings,KZT,4417100.3,active,2025-08-29 18:57:08
156,739,RU08ZGVK5877452634888,savings,KZT,4751591.07,closed,2025-11-15 05:47:48
157,973,RU88EGXY7254422535117,credit,EUR,45009.68,active,2025-10-13 07:06:30
158,493,RU33QVRY2805034553882,credit,EUR,4593117.89,active,2025-05-08 16:52:17
159,1398,RU04QPFA4767666082887,savings,USD,4579746.22,active,2025-09-20 01:48:46
160,526,RU97JKWW8712075313685,credit,EUR,1414862.14,closed,2026-03-08 11:48:01
161,1578,RU26TGDL2621074144301,savings,EUR,4014280.87,blocked,2025-10-29 06:32:14
162,90,RU12AZMC4452996457443,savings,EUR,963369.43,closed,2025-05-25 04:42:13
163,1942,RU45GCTZ9711533349729,debit,KZT,4858172.22,closed,2025-11-16 07:01:37
164,16,RU69NTOA1003434499758,credit,KZT,1054696.59,active,2026-03-25 03:06:53
165,1404,RU08WLRW6188817860215,savings,KZT,1028692.26,blocked,2025-12-30 07:34:31
166,1673,RU90SSEP9437638274903,debit,EUR,3430531.65,active,2025-10-18 13:28:40
167,1469,RU10GDFF2395480704731,savings,KZT,438516.97,active,2025-07-01 08:11:44
168,1627,RU30JXXQ3687477740703,savings,EUR,353140.02,active,2026-04-12 00:11:56
169,530,RU51MMNY5600762282128,savings,USD,2256177.19,blocked,2025-10-08 09:16:28
170,648,RU75EDSG8682784726439,debit,USD,3366820.36,closed,2025-04-25 12:10:14
171,1314,RU38GGAJ5969206660485,credit,EUR,317124.72,closed,2025-05-10 21:26:11
172,1436,RU08HDFG4435849811846,debit,USD,4640310.7,active,2025-08-13 18:39:41
173,1612,RU29LDEI2106378170483,credit,USD,3033222.64,active,2026-02-14 10:03:41
174,1898,RU41ZMIU8116595585942,savings,USD,1976171.18,active,2025-10-24 07:04:26
175,321,RU34CTHP9313636597276,credit,KZT,682770.92,blocked,2026-02-26 15:37:38
176,1634,RU65ONQP7759358613417,credit,USD,4800711.19,active,2025-08-16 23:16:35
177,1388,RU44ITCS5380884267233,credit,EUR,1866279.44,active,2025-11-24 04:24:28
178,1792,RU36TTAV7615001113915,credit,KZT,617052.56,active,2025-12-01 15:18:46
179,1222,RU42JQAJ4236479214990,savings,EUR,2738079.73,active,2025-08-19 13:06:57
180,431,RU68CAXQ6164790499157,credit,EUR,4517828.33,active,2025-07-14 10:43:11
181,846,RU70HQVA6799673672096,credit,EUR,713133.13,active,2025-07-17 23:04:53
182,1264,RU53DBZF3726432058699,savings,KZT,573998.09,closed,2026-03-20 04:44:41
183,112,RU05OFIL9715579327701,credit,USD,3223727.89,active,2025-08-14 02:16:04
184,1376,RU96DVKJ9177326096856,debit,USD,491913.8,closed,2025-10-29 10:07:56
185,1949,RU32QRWR8610859735867,savings,USD,641947.52,active,2025-06-01 01:40:34
186,584,RU68SJGW3644702632767,credit,KZT,4500692.84,active,2025-10-28 21:44:36
187,923,RU84VNZY5964587669494,savings,EUR,3297451.83,closed,2025-06-21 09:36:45
188,1159,RU82OXCL5347450240537,credit,USD,4038691.12,blocked,2025-06-27 17:01:22
189,10,RU17PFTU0848965394503,savings,KZT,3928514.9,blocked,2025-08-08 16:01:53
190,1721,RU50OZLI8078053833856,savings,KZT,3398221.32,active,2026-03-30 03:40:39
191,983,RU76SGFX9136964804073,savings,USD,1794349.27,active,2025-10-29 08:05:27
192,1130,RU46OGBZ4150632405102,debit,KZT,3228112.47,active,2026-03-16 03:16:04
193,575,RU12NLQH8796334674646,debit,EUR,982963.21,active,2026-01-30 17:17:04
194,155,RU06NXBH3273997415920,debit,EUR,3158500.85,closed,2025-12-04 00:56:06
195,830,RU03WYSJ1010276078195,credit,KZT,4531611.58,closed,2025-08-02 10:18:31
196,1114,RU38DMJQ4977973833061,credit,USD,3269886.79,active,2025-09-12 06:51:55
197,804,RU21IIGK7547893505260,debit,EUR,3666400.91,active,2025-06-14 05:03:08
198,952,RU22FYOA6875670718129,credit,EUR,453679.57,active,2025-11-04 05:43:36
199,22,RU17FHXM1391237745998,credit,KZT,4240061.22,closed,2026-01-13 22:02:14
200,340,RU21JVDW3376870580791,credit,KZT,2231656.0,active,2025-11-29 04:01:14
201,1943,RU35YBUZ6510640707838,credit,EUR,4361103.58,active,2026-02-03 00:27:30
202,1500,RU43VUJO8483034857365,savings,USD,203058.71,blocked,2025-07-22 05:15:15
203,129,RU93VJWV0449272809031,savings,USD,1170859.33,active,2025-11-10 08:13:43
204,1860,RU62ORQH6431678598444,savings,USD,2348901.47,blocked,2026-03-31 13:50:55
205,96,RU74BRRV9593032075605,debit,EUR,1621031.48,closed,2025-12-25 06:27:39
206,1700,RU80ENTT0152302999663,savings,EUR,1317317.03,closed,2025-11-30 15:27:59
207,357,RU49HATF3565403079915,savings,EUR,1893214.07,closed,2026-01-01 22:43:35
208,1840,RU70IZZB2732012953185,debit,EUR,1258680.46,active,2025-11-09 18:07:20
209,832,RU81AAJE3182068204810,savings,USD,2434820.95,blocked,2026-04-02 18:13:49
210,1238,RU96SHBL4847385779739,debit,EUR,4410289.18,blocked,2025-06-26 12:44:48
211,472,RU76ZQXE4553815182723,debit,EUR,3217741.53,active,2025-06-20 13:31:50
212,383,RU24YQEN4295185255768,debit,USD,3010499.36,active,2026-01-04 23:10:37
213,472,RU61ZQVX1559030819695,savings,USD,3601558.04,blocked,2026-01-10 10:46:58
214,981,RU54JIXQ7615048849150,savings,KZT,2954363.7,blocked,2025-05-01 22:24:03
215,500,RU32QSEU4464035076955,debit,KZT,2867859.07,active,2025-06-14 12:54:27
216,1290,RU96ZLTW3558810822775,credit,KZT,4454097.56,active,2025-05-14 22:19:34
217,341,RU73JOYO7745925412387,savings,KZT,2583686.82,blocked,2025-12-11 23:36:20
218,1986,RU32EJXS3797900704559,credit,EUR,94081.56,active,2025-05-26 12:25:21
219,444,RU44JRJS6741662395671,savings,EUR,4963886.34,blocked,2025-06-28 10:59:10
220,450,RU64EKLS3502767490641,savings,EUR,714417.97,closed,2026-03-07 20:21:59
221,1572,RU36ZEYE7276531451341,debit,EUR,3298584.1,active,2025-06-27 08:28:05
222,1484,RU95PUBB5455834559556,credit,USD,4611837.37,closed,2025-12-08 13:56:32
223,141,RU18ZFDN8335766808950,debit,USD,1927923.95,active,2025-04-29 15:33:48
224,415,RU24JZXS1086043171557,credit,EUR,3422154.79,active,2025-12-14 08:57:37
225,198,RU86RKYF1979336860931,debit,USD,4508139.48,closed,2025-05-08 09:02:08
226,1798,RU05VVNB8988850105583,credit,EUR,3762163.37,active,2025-10-27 11:59:59
227,1351,RU84TCCD5320264009333,debit,EUR,2696890.65,active,2026-04-06 13:32:42
228,1921,RU50SNHP9020388782188,credit,EUR,2158052.63,blocked,2025-09-14 01:21:23
229,1792,RU53TGQJ4781676634208,debit,EUR,2649552.78,active,2026-04-22 15:54:43
230,1644,RU09HJQW1242664742644,savings,USD,1753238.55,closed,2025-05-31 03:58:34
231,872,RU43AIOU8327966379581,debit,USD,2386229.04,active,2026-04-11 15:47:56
232,1760,RU91VWRP7449924687144,debit,USD,2991863.46,closed,2025-09-28 22:03:07
233,528,RU63MTGZ9953155664239,debit,KZT,3546035.04,active,2025-12-03 16:25:09
234,1071,RU20IAEU6908964966681,debit,EUR,36963.07,active,2026-01-15 07:38:21
235,1648,RU34DVRF2923246872203,savings,USD,1811986.68,active,2025-10-05 16:27:49
236,1335,RU81OGHP8406138674857,credit,USD,1307253.17,closed,2025-10-04 17:04:06
237,1157,RU90QHBI5596576578680,savings,EUR,1378527.15,blocked,2026-02-10 10:02:12
238,418,RU05BLKC2676449436327,savings,EUR,3919158.3,blocked,2025-07-01 14:58:33
239,759,RU49BLND4653442004218,credit,EUR,2419317.03,active,2025-12-03 13:17:15
240,706,RU40NOIO1520351919850,credit,USD,3679176.37,active,2026-02-07 15:19:19
241,471,RU21ZKNL1335850814322,savings,EUR,4746276.65,active,2025-07-15 12:05:00
242,1042,RU68WSQP6632790423381,savings,USD,4004467.81,closed,2026-01-18 22:14:04
243,1402,RU17AMBX8917005229184,credit,KZT,804529.31,active,2026-03-01 14:27:16
244,187,RU27LOUY4965990527025,debit,USD,4629383.08,blocked,2025-05-27 10:43:09
245,132,RU95TTND1435830407751,savings,KZT,1854804.8,closed,2025-05-07 21:05:37
246,1484,RU37HBNC0922168974537,savings,USD,3070213.99,closed,2025-08-12 11:16:31
247,1458,RU23DJOH2043192743126,credit,KZT,4728633.57,active,2025-12-27 21:08:10
248,1013,RU10NNLM0233616558062,savings,KZT,1009334.51,closed,2025-08-12 06:57:45
249,399,RU04IOKK5267203670275,debit,EUR,2553228.7,active,2025-12-18 03:10:29
250,348,RU72DAAL6870690571121,credit,KZT,1799340.25,active,2025-06-23 08:40:48
251,178,RU16WQCM7932353933054,savings,USD,1766285.19,blocked,2025-09-27 16:15:55
252,1201,RU52QJXS5165707943218,debit,EUR,77817.25,active,2026-04-15 04:32:35
253,185,RU62HBEI2646855190204,credit,USD,3630967.41,closed,2026-04-13 13:41:25
254,1194,RU11CYUC5488051093346,savings,USD,4816475.04,active,2025-07-20 02:24:56
255,1242,RU26YLXH3633057543700,debit,USD,4648639.49,closed,2025-04-25 00:32:35
256,535,RU70SRJD6437702170470,debit,USD,2531684.24,closed,2025-05-21 07:52:29
257,1031,RU58DFKW9283397178568,savings,USD,4735130.31,closed,2025-08-01 07:03:54
258,1795,RU62DOMT7505917393010,credit,EUR,1251457.32,blocked,2025-09-16 15:49:53
259,1154,RU61VLXL9169833179364,savings,KZT,3787608.95,blocked,2026-01-12 22:06:41
260,944,RU58UPAQ9440654525935,credit,KZT,2410368.84,active,2025-05-19 10:50:23
261,784,RU97OAVP6509462078562,credit,KZT,3384887.97,active,2026-02-27 23:14:00
262,647,RU90UXFO1926026118680,savings,USD,2583004.58,active,2026-01-20 09:17:27
263,1705,RU69XDAT3609194908170,savings,KZT,1437160.62,blocked,2026-01-09 20:30:29
264,1534,RU31BGEP6280587777014,savings,KZT,2773202.97,active,2025-10-25 07:00:26
265,643,RU73VSOE6821195696460,savings,KZT,4471686.95,active,2025-07-03 04:51:47
266,1940,RU04POGU5956919220513,credit,EUR,4651346.06,active,2025-11-03 00:11:58
267,1510,RU61LMHX9748925007516,debit,KZT,3677409.9,active,2025-07-12 12:30:18
268,470,RU10OXIZ8673581821774,debit,KZT,4181837.22,active,2025-06-22 19:10:21
269,1596,RU33QOJP7935995843835,debit,KZT,4601020.46,blocked,2025-12-17 14:28:14
270,14,RU28MTSS7125201930646,credit,KZT,4240204.97,active,2025-12-20 06:13:43
271,646,RU73USDE6719196993353,savings,EUR,4343975.41,blocked,2025-07-03 05:40:40
272,1566,RU58VBGU1387830568287,credit,USD,1989999.61,closed,2025-06-12 00:31:39
273,111,RU11LHHK5262029487478,credit,USD,2392122.06,closed,2025-05-05 20:41:40
274,1030,RU69DDFR2699345173922,savings,USD,4302140.25,active,2025-10-17 18:33:52
275,2000,RU27ESHC7786503947505,debit,EUR,2591507.49,active,2026-01-15 21:05:47
276,18,RU37KPWV7791743124345,debit,EUR,1054551.18,closed,2025-06-01 08:13:35
277,667,RU60GLHQ1157509272094,savings,EUR,4309348.27,active,2025-11-22 06:10:12
278,539,RU42QBXZ3695756294339,debit,USD,2357255.48,closed,2025-09-03 11:04:45
279,750,RU05DNRM7088550694394,debit,USD,2120290.46,blocked,2026-01-20 08:18:13
280,1541,RU57IZDB1042797493549,savings,USD,4271776.11,active,2025-10-15 06:17:14
281,369,RU65EDAD8188969913293,credit,KZT,4896382.99,active,2026-03-05 09:59:44
282,205,RU62LOKG8481115703475,credit,USD,4020633.82,closed,2025-10-08 01:45:33
283,1754,RU21MBUC6426245546202,savings,KZT,730072.83,active,2025-10-23 21:44:49
284,1651,RU40DHKW4692239407173,debit,KZT,2108181.82,active,2026-04-05 03:04:20
285,1740,RU85VJHI6609547006039,credit,EUR,2670378.96,active,2026-02-22 05:01:19
286,997,RU87QCBO9516352141202,savings,USD,2811130.12,closed,2025-05-11 17:52:17
287,816,RU91FJUD7561680956418,debit,EUR,817546.06,active,2026-03-05 06:31:22
288,521,RU84XKID3336650285915,savings,EUR,482413.13,active,2025-08-02 02:24:44
289,740,RU51NWYK8179157829052,savings,EUR,2787899.95,active,2025-09-03 20:48:30
290,41,RU43XZJS2219114299948,savings,KZT,1756101.36,closed,2025-07-09 11:36:45
291,1182,RU92DJDJ0138569939142,credit,EUR,3246005.63,active,2026-02-20 06:11:47
292,583,RU28NKEA1201740209844,savings,USD,3366291.01,blocked,2026-02-18 02:19:46
293,1509,RU54NTQQ8665948182729,savings,KZT,1905973.92,active,2025-10-20 07:40:16
294,1294,RU45DHVM7591644915321,debit,KZT,3203262.68,active,2025-10-04 00:48:11
295,1293,RU78RUAD1308523156823,credit,EUR,2024458.83,active,2025-05-23 22:33:54
296,332,RU89JFRI0224626713202,savings,KZT,1568096.83,active,2026-01-24 02:54:31
297,548,RU92KHYI2386707760429,credit,EUR,1977881.17,blocked,2026-02-20 12:23:39
298,1768,RU87XGUU9876674087721,savings,EUR,2935011.95,blocked,2025-09-30 23:50:46
299,343,RU55BOUK2400330510972,debit,KZT,626074.51,active,2026-01-05 07:41:09
300,516,RU06JZOZ2542654168939,credit,EUR,3748948.94,active,2025-06-27 00:54:24
301,814,RU35FPNY3985238182893,debit,KZT,319898.21,blocked,2025-11-22 04:57:41
302,111,RU74MUGV2786807042357,debit,USD,2620389.97,active,2025-06-02 13:52:17
303,538,RU87YUHC8995931169921,credit,KZT,422472.02,blocked,2025-08-21 08:43:55
304,470,RU90UGKH4705070775088,debit,EUR,1421592.23,active,2025-06-13 04:46:47
