event_id,session_id,event_time,event_type,amount,target_account,is_successful,error_message
36,86d0957ebdb37fd989f4ddb7d3fb5afc,2025-12-23 17:36:17,logout,,,True,
37,9d3209a75157606ae1a426dfdbbde677,2025-09-17 17:17:37,change_password,,,True,
38,bf1dfb6f76f24d3a0f141fb6fcad4cb6,2025-09-30 08:52:35,pay_utility,154749.65,KZ200841581422324059,True,
39,2beb2b66c40bfbf213db09daf6e8b9bc,2025-12-25 17:54:38,view_balance,,,True,
40,c3e1e76140f40edee309a868deca5edd,2025-10-17 10:04:23,pay_utility,72047.55,KZ285260120641674656,False,auth_error
41,a1fe0d34e5aab6dbe9d03cb5517a282f,2025-12-25 04:46:48,pay_utility,113515.36,KZ913441301549035636,True,
42,f4443ac924c136a9cdeef109b4c46f4e,2025-11-09 10:17:35,pay_utility,155818.6,KZ100300072286959955,False,auth_error
43,da71358dc8ae088bca7783fbe3a2a4c8,2025-11-21 05:37:16,pay_utility,148897.24,KZ133680297200521687,True,
44,4bedfb8eaf23cd96adb63ef060addfe0,2025-10-29 09:27:02,change_password,,,True,
45,e7a3aeb2eaeaabaccec5a9e4d5dafaba,2025-09-08 19:34:15,change_password,,,True,
46,66a48de2b0faa31245aecddcf0c40fbc,2025-11-27 07:14:03,view_history,,,False,timeout
47,21dadb2b3bda95ffd9ab3d7afebece12,2025-12-16 22:37:14,change_password,,,True,
48,e0c589455eec7c1cd7b0ba12b8fbb9e7,2025-12-01 08:22:40,change_password,,,True,
49,0ff3243aabaa695f1e5addcca29cc443,2025-09-02 22:32:44,pay_utility,53395.76,KZ684019044359858024,True,
50,371d95c2568801fee9bbae843b708cac,2025-12-21 19:26:17,make_transfer,59645.03,KZ185131519855435827,True,
51,77778ebb81bdef0dd98f1c3e1dbadaf2,2025-09-25 18:29:36,login,,,True,
52,7defcc64f56e8ef1fc7adad743be6d2a,2025-11-14 14:12:37,make_transfer,28667.28,KZ130837688321317756,True,
53,cb78fecea28d4e11da1addb0fb4e65cc,2025-11-28 07:49:14,make_transfer,131241.91,KZ241341457038354666,True,
54,cdfb843c9facdae0cbdf96efb421f038,2025-11-30 05:27:29,make_transfer,91437.29,KZ661104889978933466,True,
55,52425b0b8f49f7a7a61cd81fccc2c1ea,2025-11-03 06:19:55,login,,,True,
56,bc68dd99c2f3ad81017aedb96dcceedc,2025-10-04 03:41:02,open_card,,,True,
57,df3acdcdcece6f0b6909e31c68b9d068,2025-12-02 04:46:36,change_password,,,True,
58,abbc20fbb8cad1ec8bb72ae4f3efd5b4,2025-12-22 03:51:21,view_history,,,True,
59,c7fc31ec55ec264bcc1e019a9cced2c6,2025-10-18 16:11:52,view_history,,,True,
60,bdaa0ce0ccdcc1d0127cfcac2f52372b,2025-10-08 01:13:04,open_card,,,True,
61,97b84ead2a3cedd8fbded3bc00dfb3db,2025-11-27 12:32:56,make_transfer,124918.49,KZ011567109529223411,True,
62,b36f21bfa53bf9029fbbfc22ecd306fd,2025-12-04 16:35:58,change_password,,,True,
63,31df7bed3fe12f5fda5c5bcb485128d9,2025-10-29 02:23:23,open_card,,,True,
64,0d6a58fd362d8e8541efdbd7b8acdd5b,2025-10-03 21:50:05,pay_utility,84320.5,KZ528864725846665997,True,
65,3a2ad98611fef3cbdaa09ff1f1ed131c,2025-11-14 14:54:08,view_history,,,True,
66,13eea2554fba89d6e31dd382fcccdba3,2025-10-03 05:53:57,make_transfer,198484.27,KZ999884345181750416,True,
67,b53f548fbe053dfbdd9bccbf08c1c5e0,2025-11-18 10:41:53,change_password,,,True,
68,beed60e2ba0b37a15ef4cc2a6ea3548a,2025-09-14 05:52:08,change_password,,,False,validation_failed
69,05d4ab28da38febcdba7edebbbb0a73f,2025-11-12 20:39:37,change_password,,,True,
70,fa3ded87ff8cc08d56f2f15a0efdee5b,2025-11-20 12:56:18,view_history,,,True,
71,1ee457d68906c3e9e7dba83aa0cbdfb5,2025-10-09 03:08:46,logout,,,True,
72,ca8ef2feaf9e51b62e5c66cce04e43b5,2025-10-21 03:25:19,open_card,,,True,
73,1ea6c0dfac73db3acaf2dfd9cfa13d24,2025-11-28 01:52:38,open_card,,,True,
74,371ac1da364537dbe3f8ae6bfe6c3be4,2025-12-26 19:03:12,logout,,,True,
75,1b3e8ccea5064ecc75ccc80ea5b8b83b,2025-09-09 14:37:03,make_transfer,120805.75,KZ297380136640672532,True,
76,c7661e56aaf56f1e3f68bba3fdef03b6,2025-11-06 08:11:44,open_card,,,True,
77,1edccbaa344f0ac8c11e971a3ab44baf,2025-11-27 08:53:05,change_password,,,True,
78,3fb91bbf63bf1d532bba8ced16bc2e39,2025-10-13 04:58:53,login,,,True,
79,d7aafd4cbdd2dfadbbd488b0c9aa6bfa,2025-09-19 01:13:35,open_card,,,True,
80,2af595deeae55ea6fb5e8af666542249,2025-09-20 23:30:22,view_balance,,,True,
81,4a68cbf1fcc0ec90cf382fa68822b9be,2025-10-29 19:14:41,open_card,,,True,
82,4fbd6ac945965bacd4dcce4db40f351e,2025-12-29 20:14:40,view_history,,,True,
83,5f725c4b8e2595ed3d23050a0938e233,2025-12-19 00:48:51,make_transfer,85511.16,KZ931111048210017421,True,
84,cfff87513a2acb76be92b4fefdc9b851,2025-12-12 05:25:23,logout,,,True,
85,4ce63cf4bfbbf1e8f5e0ae253cccface,2025-09-01 10:19:48,make_transfer,86204.23,KZ383920980415043864,True,
86,bafe543bfd0e9c8b8a9638beaf19a542,2025-09-28 10:45:37,view_history,,,True,
87,09069d5558b049ef86107c889aa793be,2025-09-24 09:45:08,change_password,,,True,
88,d0dc6ddd80628ebccfeef870dfbaa213,2025-10-30 12:04:43,change_password,,,True,
89,1ceafda52ba0c729154cd27158fb6e66,2025-11-16 07:22:30,view_balance,,,True,
90,14ceeabc64ef039ac67cddcdad2b1bad,2025-10-01 09:40:29,view_balance,,,True,
91,8bafdc1eb5e5e002255c5dcfbaa1ddad,2025-12-28 01:24:51,view_history,,,True,
92,e59a4560869fa0f472df98134c4feefe,2025-12-07 04:02:04,make_transfer,37122.88,KZ253469972684426856,True,
93,a017067bb5eabbcb5e06f55d7bc90f22,2025-12-19 02:49:16,logout,,,True,
94,4767cea82acbcfb145addfdf0a188c92,2025-10-18 23:53:43,login,,,True,
95,ed605f1e7fed2a8bcbe61ed0cf602aea,2025-09-25 05:43:24,change_password,,,True,
96,aedc5c8d7381ae50fa9ba7e7bdd1acad,2025-12-27 00:37:55,make_transfer,110095.67,KZ782495975973157525,True,
97,329a58a1e433bbc91bc48cb94d753072,2025-09-27 13:06:51,make_transfer,32814.46,KZ446213328921347940,True,
98,ebdc0cea0058d22c7f6a0e2126599f59,2025-11-28 06:48:17,pay_utility,69828.45,KZ229244979710147434,True,
99,14993fdbcb2c9cd9d0c16821dbe087ee,2025-09-06 13:24:28,pay_utility,97772.68,KZ996400814312881547,True,
100,bf2dea1b0fa07ee33ea592fab6dd5cec,2025-09-24 22:11:38,change_password,,,True,
101,ffd7e7d246cfff0da12d8e81e4049cc0,2025-12-09 02:28:47,make_transfer,49999.16,KZ271054262385400598,True,
102,6d08f6a42e9ef235dbba02be2dacaee2,2025-11-24 14:53:07,login,,,True,
103,b913ea1ff2c9fc5336445c1eb7adbcf5,2025-11-03 16:56:05,login,,,True,
104,3dacdf4b90ab9d0fea62aeacdfd0a064,2025-10-10 16:24:28,pay_utility,28346.23,KZ156444478589958562,True,
105,d131a22292f7fef9ae25ad81357fae4f,2025-10-11 14:33:37,logout,,,True,
106,329a58a1e433bbc91bc48cb94d753072,2025-09-27 13:04:29,login,,,True,
107,0b05c9af37e067670fb76e2151dfad1d,2025-09-25 04:57:50,make_transfer,199512.0,KZ558045501695588174,True,
108,b3abef614eecb98f0adaffcdbdd6adcf,2025-12-01 02:56:35,make_transfer,169246.39,KZ578846992219488829,False,validation_failed
109,56af7d3491202ef82d0cdaea6beebd35,2025-10-12 21:51:19,logout,,,True,
110,fdee7cfe96ccbf3a02033dbe8a778fc8,2025-12-28 11:58:07,open_card,,,True,
111,420d18b618efa6ee0dcc2adacfbb6f8a,2025-12-13 01:12:27,logout,,,True,
112,cffedd4b317fc47cae81bca132dede38,2025-09-02 21:53:03,change_password,,,True,
113,6fdb5d8a6fd9f3c951eed5f60c0bab3d,2025-10-28 15:13:25,view_balance,,,True,
114,d7fc6cbfea3ca2dea34f9ffe72eb85cd,2025-10-10 20:57:01,open_card,,,True,
115,bdd6a88e9ce35bc95e8a917aa1bea81b,2025-12-12 06:47:12,open_card,,,True,
116,c6c5ce8ed688eebbda9cecd8bda748e4,2025-12-28 15:47:13,logout,,,True,
117,a98ac3d0baca3dea7fc1603f0644d2f2,2025-09-23 13:58:15,pay_utility,81727.0,KZ283647986847643992,True,
118,ced8dafbec85bf1f9c3eda26cfd21702,2025-09-25 21:38:35,logout,,,True,
119,bbd3c0d7bea0f503b412828e65fe4aad,2025-12-24 04:00:05,make_transfer,72048.65,KZ918022584585683796,True,
120,3b7bae38c4d98fbd0d45ebd25a9fe2f2,2025-10-30 21:18:30,view_history,,,True,
121,d49d0b55ed182f20afac7adc4cebaf0e,2025-12-07 11:02:12,view_balance,,,True,
122,c46fcc6ebffdaad002357cfdbfec43b4,2025-11-19 13:10:47,change_password,,,True,
123,6e4dd74cabdbedede4bf1c289a30cec1,2025-12-29 21:29:27,logout,,,True,
124,c84b506b40011e40c9e0cc45cc21bba1,2025-12-06 12:31:32,open_card,,,True,
125,9f4f34abe0784c0d7abca0ee7449db3a,2025-10-22 02:19:59,view_history,,,True,
126,c6b786be953afcfcc0bb62adad4decfb,2025-12-19 11:01:16,make_transfer,187955.79,KZ276066489508852794,True,
127,3c3d7aa08b0c34b542bdf238ac196bf8,2025-12-09 19:18:59,make_transfer,113506.56,KZ950057759338582407,True,
128,acc1fcd732c2ded9fcc7885fe15ef9b7,2025-12-08 07:05:59,open_card,,,True,
129,c333b3fae02f9f937c5a9da4004e9429,2025-11-11 22:30:42,login,,,True,
130,b6d90926d78c8d1620b174d37632bae6,2025-09-07 12:48:42,login,,,True,
131,9ed6b2fabe95ecacc11a2892bf9ac559,2025-10-25 23:35:15,logout,,,True,
132,bebf8cb7d0c7dfd0a4a6d1da81d92974,2025-10-15 10:41:58,logout,,,True,
133,bb50c83bc255bd534bfaf3828f12ff58,2025-12-05 13:14:30,open_card,,,True,
134,ed27e3d5a8ae1d356b24da3f2a43c3fd,2025-11-19 11:51:34,logout,,,True,
135,228382fd3ab303b844bfaaf6dc01aadb,2025-11-09 20:27:25,view_balance,,,True,
136,fd373bc6e2b9e4ce36ef558e1a39234e,2025-11-14 11:04:54,logout,,,True,
137,9f0de20f7ce64598fc3fcb35035c55aa,2025-12-02 08:26:12,view_balance,,,True,
138,f8f26f8efd1f2927f0c8cc72eceb9cfe,2025-11-01 23:41:09,open_card,,,True,
139,073d3074df90e9d21c2effeccbc043dc,2025-11-06 22:23:33,change_password,,,True,
140,abb2aec4538dd0f4f5d40eee1e6ac3d1,2025-11-20 05:37:07,pay_utility,181784.67,KZ531014076715166413,True,
141,c7e271ff1c31fa1b6d337ff444b2c9d3,2025-12-22 00:37:27,view_balance,,,True,
142,d19fcb2cfdb57e2eee24dc355d38efbc,2025-09-16 10:26:38,open_card,,,True,
143,efa8cb027317247b16deae1a2ef241f0,2025-11-09 17:34:02,pay_utility,35801.25,KZ638699669859694816,True,
144,965aaef7b20905fabf1abdacaffc0dd9,2025-09-06 10:48:59,logout,,,True,
145,f208cb21d8acbbb0eadbee6c90548df6,2025-12-04 11:57:22,open_card,,,True,
146,cea4f07664c57aaa25aeb3efd26ff3e3,2025-12-14 20:07:17,make_transfer,119124.07,KZ130300493105758743,True,
147,99faeefdb6dfa4dc7dbec41413bd258b,2025-10-19 09:19:09,login,,,True,
148,2bfdbb5f31bcbcfe62ddd3d47fffdeee,2025-11-05 16:02:19,change_password,,,True,
149,54fcef674ad1f1b829785c0b7d1bc27e,2025-09-20 05:40:29,logout,,,True,
150,20514caee4a0b52cd90e8e23bd8bf8bf,2025-09-12 23:18:05,view_balance,,,True,
151,3fa7b879f393a3becc4a38d48fbf89f7,2025-09-18 00:49:21,view_balance,,,True,
152,6d850efd1dcb418dcaf1e7c3dfea0d76,2025-11-24 08:28:40,view_history,,,True,
153,792ca72aaded101bcebaca0135aea2cc,2025-11-03 08:09:12,make_transfer,74792.83,KZ573852697758021500,True,
154,62c00751d92e6eec295dc372cdc25c3f,2025-09-29 05:26:25,logout,,,True,
155,cd71c4d5f8e90bae3d69745bd87df4bc,2025-11-16 21:21:21,open_card,,,True,
156,b36bfcde46f7ebbb53db17aea7defe5a,2025-09-02 14:50:42,view_history,,,True,
157,a560b3135606facc4b89cf2511a7e6f8,2025-11-20 02:24:53,change_password,,,True,
158,43e917aad4118cb44df36ec21aa59b83,2025-11-17 12:17:29,open_card,,,True,
159,8edde03395d4b7bdf1c000adbbedf8c7,2025-10-01 00:54:58,make_transfer,166334.03,KZ675523913663176889,True,
160,320ef592eecd3ec15e1b3b6352ddecfb,2025-09-26 11:46:54,make_transfer,148359.79,KZ592337213839936524,True,
161,c65bdfdf8df8fcbca99b756500bfa2a3,2025-10-19 02:26:29,make_transfer,192775.2,KZ365796471747064551,True,
162,fd8cda159ba48e98e3dc2fdf1cdefe0a,2025-09-18 14:18:03,change_password,,,True,
163,bbdd1b2e7cd6ae1ba9acb603afda3000,2025-09-17 14:19:10,change_password,,,True,
164,b181b27ddde5514faf1ec30e94a6a9a9,2025-10-27 06:45:58,logout,,,True,
165,498cb4e277ab2b7e6fccaddacbd2d7c9,2025-12-17 03:49:23,make_transfer,160640.9,KZ241762837299235386,True,
166,566ad1bb3bec85f4cebef0caddec29da,2025-09-25 22:40:54,login,,,True,
167,b4f48f85b2d8eeed4bdcaaa94281ab93,2025-10-30 21:15:26,logout,,,True,
168,dcd34b4c7e2e6ddebbf97f8a2ff28766,2025-10-15 12:51:00,make_transfer,129917.02,KZ490985245977866236,True,
169,27ea997e7575f57deac1d9fa8cec49ae,2025-09-01 12:21:41,open_card,,,True,
170,7d7ecda3bd8c97fc5e7bafde90be5364,2025-10-16 06:35:36,pay_utility,181399.2,KZ659743335875152816,False,validation_failed
171,cf5b7f39d2d5f69f3c61ddedff6b1bfd,2025-12-02 09:30:31,logout,,,True,
172,efc328fa02b9caa6c7b018d4ff2aa0e6,2025-10-14 21:39:52,logout,,,True,
173,4ad063843e7eab88aef42fa0abbc40ff,2025-10-10 10:11:37,make_transfer,95155.2,KZ571821088507999940,True,
174,a15edd1bbff724b3fb555cdf0ea88aeb,2025-09-02 14:25:12,view_history,,,True,
175,d1f5fb2f3aa17f2f5bbbb859ec6b317c,2025-09-06 23:07:16,make_transfer,16531.93,KZ490315946913387806,True,
176,595a2c8f1d72fe3cba8fbcc464a03873,2025-09-04 15:31:51,make_transfer,140158.38,KZ177053703458223817,True,
177,dfef13f69b1dc8dfc56ec73ac834dfe1,2025-10-26 05:35:18,login,,,True,
178,bbeddd4b1e5160e5afdedf2e0e23f068,2025-11-05 00:42:31,login,,,False,auth_error
179,bea8cb72e58bdbdccfd1966ca2af3762,2025-10-16 14:27:21,make_transfer,97007.32,KZ831105717839032432,True,
180,4f97495ccddf0efa10ffe90e7fb1a84f,2025-09-05 14:41:48,view_history,,,False,timeout
181,fa3bfff8bb74fffb2ca800d6c8f2ca2f,2025-09-04 23:25:03,open_card,,,True,
182,4fccc040359b63a6b72fd502b7abeb0f,2025-12-15 10:16:22,make_transfer,179679.48,KZ544257441145303346,True,
183,3a9ebd71c76d6ac139264ab33d42662c,2025-12-13 21:23:56,view_history,,,True,
184,d4bdfa9854a16ffadb57a53c90facbeb,2025-12-23 01:05:37,pay_utility,199834.02,KZ876186026459930605,True,
185,17e45abbaee0e50a729b7d21de1cddff,2025-12-25 17:58:15,login,,,True,
186,7190a5cbaa20aafa79fddd98699b8c58,2025-10-08 02:56:55,view_balance,,,True,
187,df6e3cfce03fda0bcd9bd95f3da9cae3,2025-12-17 13:27:13,view_history,,,True,
188,cdde0d54714fa22c0745c94835bba2fd,2025-09-22 03:08:24,open_card,,,True,
189,9fc37dd89e09058cdc7fba9f2fee8add,2025-11-04 06:31:28,login,,,True,
190,619ebf5cde123db0b261d22cddfa403b,2025-10-14 21:51:30,change_password,,,True,
191,1c5bf9d6d2adb8cdfdeae8b439ad3cab,2025-12-21 08:40:04,open_card,,,True,
192,f0be4c1edf6dc6ae488aa7cb895ed587,2025-12-09 14:49:54,view_balance,,,True,
193,7831c5cf23f3f6d236822f7332cd4f0a,2025-11-29 05:42:15,view_history,,,True,
194,dd03a39dd8e41c6a5ebc96dbb6cac548,2025-09-18 21:09:13,logout,,,True,
195,c6d75a6d5b0567ccad26fc7ded0aaad0,2025-10-31 18:50:11,view_balance,,,True,
196,f33c0fb880e9cc74bcdbbe1cb4d2d887,2025-11-17 20:37:21,pay_utility,26590.72,KZ625403970837731077,True,
197,e9765bee312c9fcf71af1b0ac8d62596,2025-12-06 15:13:32,make_transfer,59407.91,KZ043563034505938873,True,
198,facdec5bcecdd00ed4fbcadbc58fe8b3,2025-09-08 07:13:51,view_balance,,,True,
199,3b9af4c583bdcfbfbc14ef8b7daf57ca,2025-10-25 12:48:14,pay_utility,30817.46,KZ658111720180552897,True,
200,933b603e6c1ec237d4baf9e8e2e0abbe,2025-09-20 12:49:34,open_card,,,True,
201,ad4a103447dc6efaf5080dcbbb698ebc,2025-10-06 15:45:58,view_balance,,,True,
202,189edf2634023f39155adecaa9b5a30e,2025-11-04 01:37:31,pay_utility,167042.9,KZ733058177151204645,True,
203,67bb144f5ec5690cf3abb06fdaef43fd,2025-12-06 14:18:50,view_balance,,,True,
204,ced8dafbec85bf1f9c3eda26cfd21702,2025-09-25 21:29:11,logout,,,True,
205,a9ffcaf52dddb20ac0876cff688f777a,2025-11-09 03:43:12,login,,,True,
206,03b16e44dfe2c58affb6cac9d771ca05,2025-10-29 03:26:50,pay_utility,53205.53,KZ550193965575404213,True,
207,fa13c86fc6b3aad7ac3b0acec75a0e7d,2025-11-09 02:27:57,pay_utility,59570.32,KZ928351458006365717,True,
208,c9bbb6fe4abfdd0fffd6ba52efc2adfa,2025-11-22 16:20:37,open_card,,,True,
209,efbae6cb1b3c9ca9b0c8542ce9b483fc,2025-11-22 02:44:45,make_transfer,14442.44,KZ375650725568183322,True,
210,2c7a5d85505e21ad2e8f66d601d799fb,2025-12-13 14:42:57,view_balance,,,True,
211,bd89c7d1bcdbe0a55aea3d93b3ef7c6e,2025-10-23 04:22:37,view_balance,,,True,
212,d4be7feefa8f6a9d41969ff5fbbc2bff,2025-11-25 10:02:19,change_password,,,True,
213,d59ab0a0b0ce783b9567f0fc5b0d888e,2025-11-18 17:53:02,view_balance,,,True,
214,c96ffc822c798b4af53a57effcf280c9,2025-09-12 22:14:17,change_password,,,True,
215,47afa7a9bf7ccbefeecdc74faa7bbeb7,2025-10-28 18:14:20,view_history,,,True,
216,6d106d4cb5dee4ddc027c6710ac6da5d,2025-09-17 19:08:45,logout,,,True,
217,d9db2e8ccfc84f2df8f1d82ebdff8b1c,2025-09-19 04:12:08,view_history,,,True,
218,3bbaa5eff8a87ced5cefde58a878b46b,2025-11-04 18:02:36,login,,,True,
219,aae93fdacdf7a5c9034dff33ed3b377c,2025-12-06 13:30:09,make_transfer,169914.98,KZ661302431967632546,True,
220,aad2cc967aab850f9cfdfb3b7d918968,2025-09-25 05:24:27,pay_utility,6287.28,KZ002925281692142537,True,
221,f708ae890fb2f27b4eca2ab7dbfd76bd,2025-09-03 04:54:06,view_history,,,True,
222,5f034ac955f79f77ee602bdca8c0aac8,2025-12-25 22:47:43,view_balance,,,True,
223,662e43fb84071ef4f71abf24aa81a909,2025-09-20 01:19:29,change_password,,,True,
224,6f0f86067af1b6c69361e53fac519013,2025-12-27 04:33:34,pay_utility,170634.14,KZ738507835171178984,True,
225,27acac543dcfecc0c41bfbcaeff89413,2025-11-25 05:21:23,view_balance,,,True,
226,aacdab1caad12df793ebd3aaada2950b,2025-10-04 03:06:17,view_balance,,,True,
227,595a2c8f1d72fe3cba8fbcc464a03873,2025-09-04 15:51:35,make_transfer,83772.85,KZ133138683822102561,True,
228,e2cd2b1b2923eef49d7e1ff26798dedc,2025-12-21 23:01:43,logout,,,True,
229,7e1edbaea89acfb6bce80b8aa7d3a4a0,2025-09-09 15:54:48,open_card,,,True,
230,1cbfc04fb7295bf7f58473c06dfbf6b3,2025-11-18 08:31:55,logout,,,True,
231,c4da02dc26c2939cf2f4e31e67dd7e7a,2025-12-17 20:09:07,open_card,,,True,
232,7e1edbaea89acfb6bce80b8aa7d3a4a0,2025-09-09 15:53:03,make_transfer,99946.94,KZ600338993043869549,True,
233,1a72d4ab0f67b44dc7ba1d9b6828aa7b,2025-11-28 11:44:27,view_balance,,,True,
234,eb11ffbf96dc285c25bb04cefa532d0a,2025-11-22 21:17:53,view_balance,,,True,
235,bf24e8feceaba8cc3ff1c112871b34bc,2025-12-19 18:32:15,pay_utility,113783.98,KZ107851103437035499,True,
236,4e6fd52db73f60cbfffdd4ce03ff68d2,2025-10-23 14:50:37,logout,,,True,
237,30a8be4fc0a4fa19fa9adfc4abaa1f22,2025-11-04 06:36:19,pay_utility,59179.81,KZ038762021732317644,True,
238,e8595ba6e0cdfe81c1bf9fe33fcf52bd,2025-09-20 21:32:25,open_card,,,False,timeout
239,95187e695ca8f89e326abe0b793fc2bb,2025-12-23 01:33:51,pay_utility,175215.34,KZ068375083808663670,True,
240,facad3c5a19fcefd9843f68fcb0df84f,2025-11-30 08:30:48,login,,,True,
241,eeeb2fcb9892e0c3cc5db275ab6dfc0d,2025-11-28 09:35:16,pay_utility,73870.13,KZ882227180514413440,True,
242,85cefc71282d3efd723c4efb867b0a26,2025-09-14 19:48:35,make_transfer,160116.62,KZ413180978905530756,True,
243,36d7aaee5f5bff7b3bcdffffdc528255,2025-09-29 16:35:42,change_password,,,True,
244,bdcd7ea89baebdd3e9ecd2bbfdbfb12c,2025-12-19 10:13:36,logout,,,True,
245,ca713fb6ce5126dafbc1a19bb2fcecc4,2025-11-25 02:21:03,pay_utility,7188.51,KZ997326382400538230,True,
246,8bed7cbf3ede99fffcdca5cfcace95c8,2025-09-20 16:06:15,view_history,,,True,
247,f7fff5d09829abd28edadecc29fadd4c,2025-10-02 08:39:28,logout,,,True,
248,f065bcc09dacfbf5ce0cc464ae816676,2025-12-17 21:11:43,view_balance,,,True,
249,a1fe0d34e5aab6dbe9d03cb5517a282f,2025-12-25 04:27:44,pay_utility,48434.63,KZ252371625471425300,True,
250,dbb53bd2addddfd69efffc48fb8becec,2025-11-22 01:00:27,login,,,True,
251,e8595ba6e0cdfe81c1bf9fe33fcf52bd,2025-09-20 21:23:48,view_history,,,True,
252,3f8c9cfaad0ea57ddcce9f9baeede7ff,2025-09-26 01:31:34,make_transfer,52655.14,KZ595171256459407564,True,
253,d9b8d7beb7abbed9fe48b15dad601db0,2025-10-10 15:00:15,open_card,,,True,
254,3a2b89de1d8d43eec8694debc7c8de5f,2025-10-29 18:57:02,logout,,,True,
255,aaddad366f1b4a09dfffdddd48e8fd0a,2025-10-26 00:23:50,make_transfer,75504.32,KZ799636717464102240,True,
256,07c821da20e8ad30d7a8fbfe7fec62b7,2025-10-04 20:08:45,login,,,True,
257,9ddcbfcedd9bddb2a42ff7d7ba68aee4,2025-11-18 13:57:14,change_password,,,True,
258,70da9cb108d61a8dbddd32f9bf935c90,2025-12-20 09:54:24,make_transfer,9601.7,KZ564305648519832457,True,
259,379cf1b9b281b68a2d325555a1c0e8d3,2025-09-01 19:37:55,change_password,,,False,timeout
260,51be2aba605427a63bce48cb8aa2d2fc,2025-09-26 02:03:46,pay_utility,164044.26,KZ455983730444953104,True,
261,7bdb590bbd0cafc8dee29aad4ac6f91f,2025-09-01 23:14:13,open_card,,,True,
262,089d4344c8c75025a42e39758efbb6d8,2025-12-06 09:08:51,view_history,,,True,
263,2beb2b66c40bfbf213db09daf6e8b9bc,2025-12-25 17:47:28,login,,,True,
